Gen
SubNumber,BusNum,BusName,ID,Status,MW,Mvar,MWMin,MWMax,AGC,BidPoints,CubicB,CubicC,VariableOM,FuelCost,CubicD,AVR,RegBusNum,FuelType,VoltSet,MvarMin,MvarMax,EnforceMWLimit,PartFact,CostModel
830,111198,CYPRESS 54 10,1,Closed,49.17,5.02,13.03,57.00,YES,5,10.02,0.0010,4.5000,3.0100,0.00,YES,111198,NG (Natural Gas),1.04000,-17.45,29.01,YES,57.00,Piecewise Linear
830,111199,CYPRESS 54 11,1,Closed,43.14,4.83,25.07,57.00,YES,5,10.00,0.0013,4.5000,3.2730,0.00,YES,111199,NG (Natural Gas),1.04000,-18.57,29.01,YES,57.00,Piecewise Linear
830,111200,CYPRESS 54 12,1,Closed,44.26,7.35,25.87,58.00,YES,5,26.22,0.0010,5.0000,3.4340,0.00,YES,111200,NG (Natural Gas),1.04000,-15.64,29.52,YES,58.00,Piecewise Linear
830,111201,CYPRESS 54 13,1,Closed,50.03,4.64,25.90,58.00,YES,5,26.16,0.0020,5.0000,3.0440,0.00,YES,111201,NG (Natural Gas),1.04000,-14.74,29.52,YES,58.00,Piecewise Linear
830,111202,CYPRESS 54 14,1,Closed,50.03,5.57,10.82,58.00,YES,5,26.19,0.0015,5.0000,3.1530,0.00,YES,111202,NG (Natural Gas),1.04000,-16.54,29.52,YES,58.00,Piecewise Linear
830,111203,CYPRESS 54 15,1,Closed,50.03,8.90,8.97,58.00,YES,5,26.21,0.0012,5.0000,3.0480,0.00,YES,111203,NG (Natural Gas),1.04000,-15.65,29.52,YES,58.00,Piecewise Linear
830,111204,CYPRESS 54 16,1,Closed,36.08,7.07,17.69,58.00,YES,5,26.22,0.0011,5.0000,3.4420,0.00,YES,111204,NG (Natural Gas),1.04000,-16.45,29.52,YES,58.00,Piecewise Linear
830,111205,CYPRESS 54 17,1,Closed,45.14,7.16,26.75,58.00,YES,5,26.18,0.0018,5.0000,3.5530,0.00,YES,111205,NG (Natural Gas),1.04000,-19.79,29.52,YES,58.00,Piecewise Linear
830,111206,CYPRESS 54 18,1,Open,0.00,0.00,3.03,13.00,YES,5,26.25,0.0026,5.0000,2.8640,0.00,YES,111206,NG (Natural Gas),1.04000,-3.80,6.62,YES,13.00,Piecewise Linear
831,111208,THOMPSONS 6 2,1,Closed,572.78,3.33,149.20,664.00,YES,5,9.79,0.0010,3.0000,1.7000,0.00,YES,111207,SUB (Subbituminous Coal),1.04000,-167.63,309.42,YES,664.00,Piecewise Linear
831,111209,THOMPSONS 6 3,1,Closed,571.92,3.33,76.51,663.00,YES,5,10.97,0.0009,3.0000,1.7000,0.00,YES,111207,SUB (Subbituminous Coal),1.04000,-223.78,308.96,YES,663.00,Piecewise Linear
831,111210,THOMPSONS 6 4,1,Open,0.00,0.00,224.35,610.00,YES,5,8.97,0.0030,3.0000,1.7000,0.00,YES,111207,SUB (Subbituminous Coal),1.04000,-206.12,284.26,YES,610.00,Piecewise Linear
831,111211,THOMPSONS 6 5,1,Open,0.00,0.00,183.07,577.00,YES,5,9.16,0.0016,3.0000,1.7000,0.00,YES,111207,SUB (Subbituminous Coal),1.04000,-194.27,268.88,YES,577.00,Piecewise Linear
831,111212,THOMPSONS 6 6,1,Open,0.00,0.00,1.49,13.00,YES,5,8.38,0.0008,5.0000,3.4870,0.00,YES,111212,NG (Natural Gas),1.04000,-3.76,6.62,YES,13.00,Piecewise Linear
831,111212,THOMPSONS 6 6,2,Closed,476.17,3.33,165.98,552.00,YES,5,11.08,0.0010,4.0000,2.8330,0.00,YES,111207,NG (Natural Gas),1.04000,-182.79,280.97,YES,552.00,Piecewise Linear
831,111213,THOMPSONS 6 7,1,Closed,235.50,3.33,34.50,273.00,YES,5,12.05,0.0029,4.0000,3.0400,0.00,YES,111207,NG (Natural Gas),1.04000,-70.38,138.96,YES,273.00,Piecewise Linear
831,111214,THOMPSONS 6 8,1,Closed,145.78,0.45,44.20,169.00,YES,5,12.74,0.0017,4.0000,3.0080,0.00,YES,111214,NG (Natural Gas),1.04000,-58.46,86.02,YES,169.00,Piecewise Linear
831,111215,THOMPSONS 6 9,1,Closed,145.78,3.33,29.81,169.00,YES,5,13.28,0.0023,4.0000,2.8710,0.00,YES,111207,NG (Natural Gas),1.04000,-49.07,86.02,YES,169.00,Piecewise Linear
832,111217,ELMATON 3 2,1,Closed,1104.16,65.30,201.18,1280.00,YES,5,8.29,0.0020,4.0000,0.7500,0.00,YES,111216,NUC (Nuclear),1.03900,-365.47,471.04,YES,1280.00,Piecewise Linear
832,111218,ELMATON 3 3,1,Closed,1104.16,65.30,178.29,1280.00,YES,5,7.51,0.0020,4.0000,0.7500,0.00,YES,111216,NUC (Nuclear),1.03900,-382.86,471.04,YES,1280.00,Piecewise Linear
833,111220,LA PORTE 9 2,1,Closed,60.57,13.10,34.89,81.00,YES,5,13.47,0.0018,5.0000,3.3890,0.00,YES,111220,NG (Natural Gas),1.04000,-21.32,41.23,YES,81.00,Piecewise Linear
833,111221,LA PORTE 9 3,1,Closed,69.87,14.04,13.80,81.00,YES,5,13.37,0.0030,5.0000,3.1050,0.00,YES,111221,NG (Natural Gas),1.04000,-21.95,41.23,YES,81.00,Piecewise Linear
834,111223,LIVERPOOL 4 2,1,Open,0.00,0.00,3.97,30.00,YES,5,5.21,0.0020,5.0000,3.0920,0.00,YES,111223,NG (Natural Gas),1.04000,-10.32,15.27,YES,30.00,Piecewise Linear
836,111231,SEABROOK 8 2,1,Closed,64.70,20.26,20.03,75.00,YES,5,5.10,0.0002,5.0000,3.0040,0.00,YES,111231,NG (Natural Gas),1.04000,-25.11,38.17,YES,75.00,Piecewise Linear
836,111232,SEABROOK 8 3,1,Closed,31.27,19.91,7.50,75.00,YES,5,4.91,0.0027,5.0000,3.2900,0.00,YES,111232,NG (Natural Gas),1.04000,-25.04,38.17,YES,75.00,Piecewise Linear
836,111233,SEABROOK 8 4,1,Closed,64.70,13.21,27.46,75.00,YES,5,5.09,0.0003,5.0000,2.8550,0.00,YES,111233,NG (Natural Gas),1.04000,-22.40,38.17,YES,75.00,Piecewise Linear
836,111234,SEABROOK 8 5,1,Closed,43.08,18.53,19.31,75.00,YES,5,8.64,0.0024,0.0000,3.4380,0.00,YES,111234,NG (Natural Gas),1.04000,-20.50,38.17,YES,75.00,Piecewise Linear
837,111237,LIVERPOOL 5 3,1,Closed,30.86,19.30,17.39,42.50,YES,5,5.25,0.0011,0.0000,3.6040,0.00,YES,111237,OG (Other Gas),1.04000,-10.78,21.63,YES,42.50,Piecewise Linear
838,111241,BAYTOWN 11 2,2,Open,0.00,0.00,13.43,28.00,YES,5,5.31,0.0016,5.0000,3.5280,0.00,YES,111241,NG (Natural Gas),1.04000,-8.08,14.25,YES,28.00,Piecewise Linear
838,111242,BAYTOWN 11 3,1,Open,0.00,0.00,12.12,28.00,YES,5,5.30,0.0020,5.0000,2.9860,0.00,YES,111242,NG (Natural Gas),1.04000,-9.25,14.25,YES,28.00,Piecewise Linear
838,111242,BAYTOWN 11 3,2,Open,0.00,0.00,5.59,18.00,YES,5,5.31,0.0022,5.0000,3.4490,0.00,YES,111242,NG (Natural Gas),1.04000,-5.82,9.16,YES,18.00,Piecewise Linear
838,111243,BAYTOWN 11 4,1,Open,0.00,0.00,5.77,18.00,YES,5,5.31,0.0023,5.0000,3.2980,0.00,YES,111243,NG (Natural Gas),1.04000,-5.59,9.16,YES,18.00,Piecewise Linear
838,111243,BAYTOWN 11 4,2,Open,0.00,0.00,1.93,18.00,YES,5,5.34,0.0010,5.0000,3.3230,0.00,YES,111243,NG (Natural Gas),1.04000,-6.07,9.16,YES,18.00,Piecewise Linear
838,111244,BAYTOWN 11 5,1,Open,0.00,0.00,2.10,18.00,YES,5,5.34,0.0006,5.0000,3.4210,0.00,YES,111244,NG (Natural Gas),1.04000,-6.13,9.16,YES,18.00,Piecewise Linear
839,111246,BAYTOWN 12 2,1,Closed,112.76,71.15,68.38,140.00,YES,5,5.07,0.0021,5.0000,3.4030,0.00,YES,111246,NG (Natural Gas),1.04000,-39.11,71.26,YES,140.00,Piecewise Linear
839,111247,BAYTOWN 12 3,1,Closed,77.64,43.00,36.59,90.00,YES,5,5.33,0.0004,5.0000,3.2650,0.00,YES,111247,NG (Natural Gas),1.04000,-22.96,45.81,YES,90.00,Piecewise Linear
839,111248,BAYTOWN 12 4,1,Open,0.00,0.00,14.60,32.00,YES,5,5.33,0.0009,5.0000,3.3930,0.00,YES,111248,NG (Natural Gas),1.04000,-9.57,16.29,YES,32.00,Piecewise Linear
839,111249,BAYTOWN 12 5,1,Open,0.00,0.00,14.84,32.00,YES,5,5.27,0.0028,5.0000,3.1020,0.00,YES,111249,NG (Natural Gas),1.04000,-10.33,16.29,YES,32.00,Piecewise Linear
839,111249,BAYTOWN 12 5,2,Open,0.00,0.00,11.82,32.00,YES,5,5.31,0.0018,5.0000,3.2250,0.00,YES,111249,NG (Natural Gas),1.04000,-9.32,16.29,YES,32.00,Piecewise Linear
840,111251,DEER PARK 12 2,1,Closed,56.93,14.96,12.15,66.00,YES,5,5.53,0.0020,4.5000,3.2490,0.00,YES,111251,NG (Natural Gas),1.04000,-22.39,33.59,YES,66.00,Piecewise Linear
840,111252,DEER PARK 12 3,1,Closed,41.15,15.36,20.23,66.00,YES,5,5.54,0.0018,4.5000,3.5070,0.00,YES,111252,NG (Natural Gas),1.04000,-20.06,33.59,YES,66.00,Piecewise Linear
840,111253,DEER PARK 12 4,1,Closed,38.91,14.88,19.26,62.00,YES,5,5.50,0.0025,4.5000,3.7070,0.00,YES,111253,NG (Natural Gas),1.04000,-19.86,31.56,YES,62.00,Piecewise Linear
840,111254,DEER PARK 12 5,1,Closed,59.52,13.18,10.92,69.00,YES,5,5.50,0.0023,4.5000,3.2390,0.00,YES,111254,NG (Natural Gas),1.04000,-18.26,35.12,YES,69.00,Piecewise Linear
842,111260,BOLING 1 2,1,Closed,47.80,35.12,25.93,69.00,YES,5,13.57,0.0023,5.0000,3.2960,0.00,YES,111260,NG (Natural Gas),1.04000,-22.98,35.12,YES,69.00,Piecewise Linear
843,111262,TEXAS CITY 6 2,1,Open,0.00,0.00,14.26,38.00,YES,5,9.19,0.0010,3.0000,5.0000,0.00,YES,111262,PUR (Purchased Steam),1.04000,-12.05,13.04,YES,38.00,Piecewise Linear
844,111264,GALENA PARK 19 2,1,Open,0.00,0.00,9.49,35.00,YES,5,5.46,0.0025,4.0000,2.9320,0.00,YES,111264,NG (Natural Gas),1.04000,-9.49,17.81,YES,35.00,Piecewise Linear
845,111266,DEER PARK 13 2,1,Closed,20.67,10.40,6.40,45.00,YES,5,5.67,0.0010,3.0000,5.0000,0.00,YES,111266,PUR (Purchased Steam),1.04000,-15.71,16.83,YES,45.00,Piecewise Linear
845,111266,DEER PARK 13 2,2,Closed,25.37,10.40,11.11,45.00,YES,5,5.67,0.0010,3.0000,5.0000,0.00,YES,111266,PUR (Purchased Steam),1.04000,-13.58,14.24,YES,45.00,Piecewise Linear
845,111267,DEER PARK 13 3,1,Closed,64.70,32.49,24.70,75.00,YES,5,9.61,0.0026,3.0000,2.9690,0.00,YES,111267,OG (Other Gas),1.04000,-20.63,38.17,YES,75.00,Piecewise Linear
845,111268,DEER PARK 13 4,1,Closed,60.38,23.38,34.86,70.00,YES,5,9.66,0.0020,3.0000,3.1250,0.00,YES,111268,OG (Other Gas),1.04000,-18.38,35.63,YES,70.00,Piecewise Linear
846,111270,CHANNELVIEW 13 2,1,Closed,96.97,55.14,58.90,120.10,YES,5,5.37,0.0015,4.5000,3.0160,0.00,YES,111269,NG (Natural Gas),1.03700,-37.48,61.13,YES,120.10,Piecewise Linear
846,111271,CHANNELVIEW 13 3,1,Closed,52.29,9.85,30.42,69.00,YES,5,5.44,0.0016,4.5000,3.2890,0.00,YES,111271,NG (Natural Gas),1.04000,-17.45,35.12,YES,69.00,Piecewise Linear
846,111272,CHANNELVIEW 13 4,1,Closed,60.21,7.44,32.31,69.80,YES,5,5.40,0.0021,4.5000,3.0620,0.00,YES,111272,NG (Natural Gas),1.04000,-23.45,35.53,YES,69.80,Piecewise Linear
846,111273,CHANNELVIEW 13 5,1,Closed,33.42,25.35,11.29,69.80,YES,5,5.48,0.0009,4.5000,3.5160,0.00,YES,111273,NG (Natural Gas),1.04000,-24.08,35.53,YES,69.80,Piecewise Linear
846,111274,CHANNELVIEW 13 6,1,Closed,42.19,4.94,19.97,70.10,YES,5,5.35,0.0028,4.5000,3.2820,0.00,YES,111274,NG (Natural Gas),1.04000,-18.43,35.68,YES,70.10,Piecewise Linear
846,111275,CHANNELVIEW 13 7,1,Closed,60.38,14.82,8.34,70.00,YES,5,5.45,0.0014,4.5000,3.2820,0.00,YES,111275,NG (Natural Gas),1.04000,-20.08,35.63,YES,70.00,Piecewise Linear
846,111276,CHANNELVIEW 13 8,1,Closed,59.00,6.72,21.65,68.40,YES,5,5.52,0.0004,4.5000,3.1360,0.00,YES,111276,NG (Natural Gas),1.04000,-17.90,34.82,YES,68.40,Piecewise Linear
848,111280,TEXAS CITY 7 2,1,Closed,86.32,7.44,42.26,139.00,YES,5,5.36,0.0026,4.5000,3.2850,0.00,YES,111280,NG (Natural Gas),1.04000,-35.41,70.75,YES,139.00,Piecewise Linear
848,111281,TEXAS CITY 7 3,1,Closed,89.71,7.12,37.35,104.00,YES,5,5.66,0.0006,4.5000,3.0800,0.00,YES,111281,NG (Natural Gas),1.04000,-26.52,52.94,YES,104.00,Piecewise Linear
848,111282,TEXAS CITY 7 4,1,Closed,89.71,7.08,32.22,104.00,YES,5,5.65,0.0007,4.5000,3.0230,0.00,YES,111282,NG (Natural Gas),1.04000,-29.59,52.94,YES,104.00,Piecewise Linear
848,111283,TEXAS CITY 7 5,1,Closed,89.71,6.00,13.48,104.00,YES,5,5.70,0.0002,4.5000,3.0710,0.00,YES,111283,NG (Natural Gas),1.04000,-28.22,52.94,YES,104.00,Piecewise Linear
849,111286,CLUTE 5 3,1,Closed,53.44,8.86,23.14,95.60,YES,5,5.35,0.0013,4.5000,3.4062,0.00,YES,111286,NG (Natural Gas),1.04000,-32.33,48.66,YES,95.60,Piecewise Linear
849,111287,CLUTE 5 4,1,Closed,63.17,5.02,32.87,95.60,YES,5,5.24,0.0025,4.5000,3.2860,0.00,YES,111287,NG (Natural Gas),1.04000,-24.43,48.66,YES,95.60,Piecewise Linear
849,111288,CLUTE 5 5,1,Closed,82.12,4.49,46.30,95.20,YES,5,5.42,0.0006,4.5000,3.1530,0.00,YES,111288,NG (Natural Gas),1.04000,-26.93,48.46,YES,95.20,Piecewise Linear
849,111289,CLUTE 5 6,1,Closed,48.08,4.69,26.43,68.30,YES,5,5.33,0.0021,4.5000,3.3110,0.00,YES,111289,NG (Natural Gas),1.04000,-19.32,34.76,YES,68.30,Piecewise Linear
849,111290,CLUTE 5 7,1,Closed,55.01,4.18,33.36,68.30,YES,5,5.37,0.0016,4.5000,3.3900,0.00,YES,111290,NG (Natural Gas),1.04000,-18.60,34.76,YES,68.30,Piecewise Linear
849,111291,CLUTE 5 8,1,Open,0.00,0.00,15.74,35.00,YES,5,5.42,0.0017,4.5000,2.9980,0.00,YES,111291,NG (Natural Gas),1.04000,-10.98,17.81,YES,35.00,Piecewise Linear
849,111292,CLUTE 5 9,1,Closed,51.07,7.14,24.70,59.20,YES,5,8.20,0.0026,5.0000,3.1580,0.00,YES,111292,NG (Natural Gas),1.04000,-19.35,30.13,YES,59.20,Piecewise Linear
850,111295,TEXAS CITY 8 3,1,Closed,59.52,18.58,16.48,69.00,YES,5,7.20,0.0002,4.5000,3.3360,0.00,YES,111295,NG (Natural Gas),1.04000,-18.16,35.12,YES,69.00,Piecewise Linear
850,111296,TEXAS CITY 8 4,1,Closed,59.52,7.52,22.97,69.00,YES,5,7.08,0.0020,4.5000,3.1810,0.00,YES,111296,NG (Natural Gas),1.04000,-21.25,35.12,YES,69.00,Piecewise Linear
850,111297,TEXAS CITY 8 5,1,Open,0.00,0.00,5.19,34.00,YES,5,7.18,0.0009,4.5000,2.8040,0.00,YES,111297,NG (Natural Gas),1.04000,-9.12,17.31,YES,34.00,Piecewise Linear
852,111301,FREEPORT 2 2,1,Closed,79.64,9.41,28.92,160.00,YES,5,5.59,0.0027,4.5000,3.4330,0.00,YES,111301,NG (Natural Gas),1.04000,-54.23,81.44,YES,160.00,Piecewise Linear
852,111302,FREEPORT 2 3,1,Closed,62.97,6.35,30.33,73.00,YES,5,5.92,0.0014,4.5000,3.0630,0.00,YES,111302,NG (Natural Gas),1.04000,-21.88,37.16,YES,73.00,Piecewise Linear
852,111303,FREEPORT 2 4,1,Closed,43.91,7.00,20.77,73.00,YES,5,5.95,0.0010,4.5000,3.3500,0.00,YES,111303,NG (Natural Gas),1.04000,-24.81,37.16,YES,73.00,Piecewise Linear
852,111304,FREEPORT 2 5,1,Closed,62.97,5.67,24.52,73.00,YES,5,6.01,0.0002,4.5000,3.0950,0.00,YES,111304,NG (Natural Gas),1.04000,-21.09,37.16,YES,73.00,Piecewise Linear
853,111306,SWEENY 5 2,1,Closed,60.88,0.99,26.33,109.00,YES,5,7.03,0.0007,5.0000,3.4890,0.00,YES,111306,NG (Natural Gas),1.04000,-36.09,55.48,YES,109.00,Piecewise Linear
853,111307,SWEENY 5 3,1,Closed,94.03,55.48,27.46,109.00,YES,5,6.89,0.0020,5.0000,3.4080,0.00,YES,111305,NG (Natural Gas),1.04100,-30.52,55.48,YES,109.00,Piecewise Linear
853,111308,SWEENY 5 4,1,Closed,81.45,1.46,46.90,109.00,YES,5,6.98,0.0012,5.0000,3.4710,0.00,YES,111308,NG (Natural Gas),1.04000,-34.66,55.48,YES,109.00,Piecewise Linear
853,111309,SWEENY 5 5,1,Closed,94.03,1.39,47.78,109.00,YES,5,6.80,0.0028,5.0000,3.2550,0.00,YES,111309,NG (Natural Gas),1.04000,-37.92,55.48,YES,109.00,Piecewise Linear
854,111312,PASADENA 7 3,1,Closed,69.13,19.89,16.83,165.00,YES,5,6.36,0.0010,4.5000,3.3110,0.00,YES,111312,NG (Natural Gas),1.04000,-47.10,83.99,YES,165.00,Piecewise Linear
854,111313,PASADENA 7 4,1,Closed,142.33,-6.92,49.54,165.00,YES,5,6.47,0.0003,4.5000,2.6180,0.00,YES,111310,NG (Natural Gas),1.03700,-51.29,83.99,YES,165.00,Piecewise Linear
854,111314,PASADENA 7 5,1,Closed,142.33,-6.92,71.73,165.00,YES,5,6.42,0.0006,4.5000,3.0990,0.00,YES,111310,NG (Natural Gas),1.03700,-53.86,83.99,YES,165.00,Piecewise Linear
854,111315,PASADENA 7 6,1,Closed,142.33,-6.92,58.52,165.00,YES,5,6.36,0.0010,4.5000,3.1160,0.00,YES,111310,NG (Natural Gas),1.03700,-47.67,83.99,YES,165.00,Piecewise Linear
854,111316,PASADENA 7 7,1,Closed,51.76,7.14,8.55,60.00,YES,5,6.46,0.0010,4.5000,2.8620,0.00,YES,111316,NG (Natural Gas),1.04000,-16.52,30.54,YES,60.00,Piecewise Linear
855,111318,CHANNELVIEW 14 2,1,Closed,89.29,9.48,37.94,162.00,YES,5,5.49,0.0019,4.5000,3.6430,0.00,YES,111318,NG (Natural Gas),1.04000,-48.35,82.46,YES,162.00,Piecewise Linear
855,111319,CHANNELVIEW 14 3,1,Closed,139.75,-31.65,69.97,162.00,YES,5,5.76,0.0002,4.5000,3.1460,0.00,YES,111317,NG (Natural Gas),1.03700,-46.29,82.46,YES,162.00,Piecewise Linear
855,111320,CHANNELVIEW 14 4,1,Closed,140.61,12.26,59.93,163.00,YES,5,5.68,0.0007,4.5000,3.2550,0.00,YES,111320,NG (Natural Gas),1.04000,-54.72,82.97,YES,163.00,Piecewise Linear
855,111321,CHANNELVIEW 14 5,1,Closed,93.38,14.25,42.35,161.00,YES,5,5.35,0.0028,4.5000,3.2930,0.00,YES,111321,NG (Natural Gas),1.04000,-42.94,81.95,YES,161.00,Piecewise Linear
855,111322,CHANNELVIEW 14 6,1,Closed,117.32,8.44,63.29,136.00,YES,5,5.44,0.0026,4.5000,2.9580,0.00,YES,111322,NG (Natural Gas),1.04000,-34.05,69.22,YES,136.00,Piecewise Linear
856,111324,GALENA PARK 21 2,1,Closed,150.56,109.43,82.41,215.00,YES,5,4.18,0.0019,4.5000,3.5520,0.00,YES,111323,NG (Natural Gas),1.04000,-65.43,109.43,YES,215.00,Piecewise Linear
856,111325,GALENA PARK 21 3,1,Closed,159.59,6.73,90.78,185.00,YES,5,4.24,0.0019,4.5000,3.0850,0.00,YES,111325,NG (Natural Gas),1.04000,-54.86,94.16,YES,185.00,Piecewise Linear
856,111326,GALENA PARK 21 4,1,Closed,159.59,5.88,44.07,185.00,YES,5,4.18,0.0022,4.5000,3.3040,0.00,YES,111326,NG (Natural Gas),1.04000,-53.28,94.16,YES,185.00,Piecewise Linear
856,111327,GALENA PARK 21 5,1,Closed,157.86,5.59,66.98,183.00,YES,5,4.37,0.0012,4.5000,2.7320,0.00,YES,111327,NG (Natural Gas),1.04000,-46.34,93.15,YES,183.00,Piecewise Linear
857,111329,CLUTE 6 2,1,Open,0.00,0.00,5.26,11.70,YES,5,6.83,0.0020,3.0000,3.0000,0.00,YES,111329,WH (Waste Heat),1.04000,-4.02,5.48,YES,11.70,Piecewise Linear
857,111330,CLUTE 6 3,1,Closed,64.70,21.75,9.54,75.00,YES,5,5.35,0.0014,5.0000,3.0890,0.00,YES,111330,NG (Natural Gas),1.04000,-21.38,38.17,YES,75.00,Piecewise Linear
858,111333,BAYTOWN 13 2,1,Closed,110.38,-0.43,110.38,275.00,YES,5,5.37,0.0024,4.5000,3.1880,0.00,YES,111333,NG (Natural Gas),1.04000,-95.08,139.97,YES,275.00,Piecewise Linear
858,111334,BAYTOWN 13 3,1,Closed,150.96,0.26,74.33,175.00,YES,5,5.70,0.0019,4.5000,2.9980,0.00,YES,111334,NG (Natural Gas),1.04000,-45.43,89.07,YES,175.00,Piecewise Linear
858,111335,BAYTOWN 13 4,1,Open,0.00,0.00,77.27,175.00,YES,5,5.94,0.0005,4.5000,3.0490,0.00,YES,111335,NG (Natural Gas),1.04000,-56.30,89.07,YES,175.00,Piecewise Linear
858,111336,BAYTOWN 13 5,1,Closed,121.52,0.46,38.81,175.00,YES,5,5.50,0.0030,4.5000,3.2040,0.00,YES,111336,NG (Natural Gas),1.04000,-50.60,89.07,YES,175.00,Piecewise Linear
859,111339,THOMPSONS 7 3,1,Closed,166.49,57.01,95.32,193.00,YES,5,8.28,0.0015,0.0000,3.1370,0.00,YES,111337,NG (Natural Gas),1.03900,-62.61,98.24,YES,193.00,Piecewise Linear
859,111340,THOMPSONS 7 4,1,Closed,123.45,3.44,37.65,166.00,YES,5,8.32,0.0029,0.0000,3.2300,0.00,YES,111340,NG (Natural Gas),1.04000,-50.27,84.49,YES,166.00,Piecewise Linear
859,111341,THOMPSONS 7 5,1,Closed,143.20,57.01,44.21,166.00,YES,5,8.41,0.0004,0.0000,3.2580,0.00,YES,111337,NG (Natural Gas),1.03900,-54.88,84.49,YES,166.00,Piecewise Linear
860,111343,LA PORTE 10 2,1,Closed,32.78,9.43,10.31,38.00,YES,5,13.11,0.0012,5.0000,2.8640,0.00,YES,111343,NG (Natural Gas),1.04000,-11.83,19.34,YES,38.00,Piecewise Linear
860,111344,LA PORTE 10 3,1,Closed,32.78,6.17,18.13,38.00,YES,5,13.08,0.0018,5.0000,3.0260,0.00,YES,111344,NG (Natural Gas),1.04000,-10.22,19.34,YES,38.00,Piecewise Linear
860,111344,LA PORTE 10 3,2,Closed,17.12,6.17,5.07,38.00,YES,5,13.06,0.0024,5.0000,3.2500,0.00,YES,111344,NG (Natural Gas),1.04000,-10.69,19.34,YES,38.00,Piecewise Linear
