Branch
From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Mvar From ,MVA From ,Lim MVA,% of MVA Limit (Max),MW Loss,Mvar Loss
230242,MEXIA 2 1,230257,DONIE 3 1,1,Closed,Line,NO,-813.8,70.2,816.9,1548.6,53.0,7.37,63.78
150497,OLNEY 2 1,150503,BRYSON 2 1,1,Closed,Line,NO,813.7,-23.0,814.0,1600.0,50.9,4.17,8.73
150497,OLNEY 2 1,150503,BRYSON 2 1,2,Closed,Line,NO,813.7,-23.0,814.0,1600.0,50.9,4.17,8.73
210332,RIESEL 5 1,210334,RIESEL 5 3,1,Closed,Transformer,YES,-803.3,61.2,805.6,1212.4,66.4,1.20,66.38
240231,ABILENE 6 1,240276,HERMLEIGH 4 1,1,Closed,Line,NO,-800.1,78.4,803.9,1325.5,61.4,13.71,70.68
240231,ABILENE 6 1,240276,HERMLEIGH 4 1,2,Closed,Line,NO,-800.1,78.4,803.9,1325.5,61.4,13.71,70.68
111337,THOMPSONS 7 1,110883,FRESNO 2 1,1,Closed,Line,NO,799.9,-32.2,800.5,1190.4,67.2,3.97,22.35
160196,NURSERY 3 1,160209,FANNIN 6 1,1,Closed,Line,NO,-793.8,72.2,797.1,1213.7,65.8,4.18,36.81
150430,KENNEDALE 8 1,260137,BEDFORD 1 1,1,Closed,Line,NO,788.3,-108.9,795.8,1265.5,63.0,4.56,36.67
110417,CHANNELVIEW 5 1,111269,CHANNELVIEW 13 1,1,Closed,Line,NO,-786.6,-48.1,788.0,1250.8,63.1,0.46,2.53
240208,TRENT 1 1,150532,MINGUS 4 1,1,Closed,Line,NO,786.3,2.8,786.3,1561.6,50.4,22.79,120.58
270211,SAN MARCOS 7 1,270153,SAN MARCOS 2 1,1,Closed,Line,NO,779.8,62.3,782.2,1276.7,61.3,2.16,17.64
150449,WICHITA FALLS 11 1,150526,OKLAUNION 2 1,1,Closed,Line,NO,-778.2,56.1,780.2,1290.5,61.0,9.24,67.52
120462,ADKINS 7 1,120468,ADKINS 8 1,1,Closed,Line,NO,-771.4,69.8,774.5,1092.6,70.9,0.11,0.62
120437,ADKINS 6 1,120351,BULVERDE 6 1,1,Closed,Line,NO,773.4,0.3,773.4,1172.6,66.0,6.86,39.86
240231,ABILENE 6 1,150120,EASTLAND 1 1,1,Closed,Line,NO,770.9,-55.5,772.9,1300.0,59.5,16.53,79.99
240231,ABILENE 6 1,150120,EASTLAND 1 1,2,Closed,Line,NO,770.9,-55.5,772.9,1300.0,59.5,16.53,79.99
230242,MEXIA 2 1,130310,CORSICANA 4 1,1,Closed,Line,NO,769.2,-17.0,769.4,1783.5,43.1,16.57,129.28
210144,HEWITT 3 1,210332,RIESEL 5 1,1,Closed,Line,NO,-761.9,65.8,764.8,1328.3,57.7,2.45,7.15
160234,TIVOLI 5 1,160271,PORTLAND 3 1,1,Closed,Line,NO,-757.0,107.8,764.6,1239.2,62.3,14.70,105.52
111389,WHARTON 4 1,110943,ROSENBERG 4 1,1,Closed,Line,NO,760.0,-9.8,760.1,1317.3,57.7,6.14,52.66
210275,TEMPLE 5 1,210335,TEMPLE 7 1,1,Closed,Line,NO,-755.1,-2.1,755.1,1266.4,59.7,1.23,9.50
240276,HERMLEIGH 4 1,240267,HERMLEIGH 3 1,2,Closed,Line,NO,-743.0,122.9,753.1,1240.4,60.7,2.49,20.94
240276,HERMLEIGH 4 1,240267,HERMLEIGH 3 1,1,Closed,Line,NO,-743.0,122.9,753.1,1240.4,60.7,2.49,20.94
260185,HILLSBORO 2 1,260206,VENUS 3 1,1,Closed,Line,NO,748.6,-29.1,749.2,1771.5,42.3,10.38,68.27
160215,POINT COMFORT 5 1,160234,TIVOLI 5 1,1,Closed,Line,NO,-743.4,80.8,747.8,1185.6,63.2,3.65,28.73
150487,POOLVILLE 2 1,150503,BRYSON 2 1,2,Closed,Line,NO,-743.6,32.6,744.3,1402.3,53.4,3.70,-24.71
150487,POOLVILLE 2 1,150503,BRYSON 2 1,1,Closed,Line,NO,-743.6,32.6,744.3,1402.3,53.4,3.70,-24.71
230257,DONIE 3 1,230259,DONIE 3 3,1,Closed,Transformer,YES,-739.3,29.2,739.8,1115.4,66.4,0.86,48.32
111189,CYPRESS 54 1,111067,SPRING 32 1,1,Closed,Line,NO,731.7,101.2,738.7,1247.3,59.2,1.53,-2.44
230267,FRANKLIN 6 1,230271,FRANKLIN 6 5,1,Closed,Transformer,YES,-736.7,-33.5,737.5,1111.5,66.9,0.85,57.56
230267,FRANKLIN 6 1,230272,FRANKLIN 6 6,1,Closed,Transformer,YES,-736.4,-19.4,736.6,1111.5,66.9,1.15,71.71
160080,BEEVILLE 2 1,160299,MATHIS 4 1,1,Closed,Line,NO,-727.0,90.9,732.7,1260.9,58.3,3.24,8.50
150529,MUENSTER 6 1,170562,SHERMAN 5 1,1,Closed,Line,NO,712.7,-145.5,727.4,1200.0,60.6,7.62,19.79
230257,DONIE 3 1,230260,DONIE 3 4,1,Closed,Transformer,YES,-715.7,44.1,717.0,1080.3,66.4,1.19,63.24
260137,BEDFORD 1 1,260105,COPPELL 10 1,1,Closed,Line,NO,711.4,-38.2,712.5,1360.8,52.4,2.37,10.30
260137,BEDFORD 1 1,260105,COPPELL 10 1,2,Closed,Line,NO,711.4,-38.2,712.5,1360.8,52.4,2.37,10.30
190191,SNYDER 2 1,240267,HERMLEIGH 3 1,1,Closed,Line,NO,707.0,-75.9,711.1,1100.0,64.6,2.80,21.05
111279,TEXAS CITY 7 1,111353,TEXAS CITY 9 1,1,Closed,Line,NO,703.7,-55.5,705.9,1188.2,59.4,0.19,1.03
250357,TATUM 4 1,250360,TATUM 4 4,1,Closed,Transformer,YES,-694.2,-56.4,696.5,1046.5,66.7,0.22,12.90
250357,TATUM 4 1,250359,TATUM 4 3,1,Closed,Transformer,YES,-693.3,-9.5,693.4,1046.5,66.7,1.07,59.77
250357,TATUM 4 1,250358,TATUM 4 2,1,Closed,Transformer,YES,-689.3,-15.9,689.4,1040.0,66.7,0.84,53.41
111207,THOMPSONS 6 1,111171,SUGAR LAND 75 1,1,Closed,Line,NO,684.9,12.0,685.0,1312.7,52.2,3.60,16.81
111207,THOMPSONS 6 1,111171,SUGAR LAND 75 1,2,Closed,Line,NO,684.9,12.0,685.0,1312.7,52.2,3.60,16.81
260120,CEDAR HILL 4 2,260119,CEDAR HILL 4 1,2,Closed,Transformer,YES,-684.6,-14.0,684.7,1173.0,59.3,1.93,95.00
260120,CEDAR HILL 4 2,260119,CEDAR HILL 4 1,1,Closed,Transformer,YES,-684.6,-14.0,684.7,1173.0,59.3,1.93,95.00
120468,ADKINS 8 1,120469,ADKINS 8 2,1,Closed,Transformer,YES,-676.4,57.7,678.9,1020.5,66.5,0.72,48.53
111216,ELMATON 3 1,111389,WHARTON 4 1,1,Closed,Line,NO,677.4,-44.4,678.8,1373.4,49.4,5.74,27.96
111216,ELMATON 3 1,111389,WHARTON 4 1,2,Closed,Line,NO,677.4,-44.4,678.8,1373.4,49.4,5.74,27.96
150521,RAINBOW 5 1,260206,VENUS 3 1,2,Closed,Line,NO,672.9,-35.6,673.9,1392.3,48.4,5.47,-14.91
150521,RAINBOW 5 1,260206,VENUS 3 1,1,Closed,Line,NO,672.9,-35.6,673.9,1392.3,48.4,5.47,-14.91
110928,WILLIS 6 1,230283,SHIRO 3 1,1,Closed,Line,NO,-658.2,32.6,659.0,1400.0,47.6,8.23,47.00
150265,KELLER 6 1,150539,DENTON 2 1,1,Closed,Line,NO,655.7,8.9,655.7,1276.0,51.4,5.24,25.29
190204,CHILLICOTHE 3 1,150550,VERNON 2 1,2,Closed,Line,NO,643.3,-101.5,651.3,1360.8,47.9,4.42,27.97
190204,CHILLICOTHE 3 1,150550,VERNON 2 1,1,Closed,Line,NO,643.3,-101.5,651.3,1360.8,47.9,4.42,27.97
240220,WINGATE 3 1,210347,COMANCHE 4 1,1,Closed,Line,NO,642.5,-54.0,644.8,1320.7,48.8,16.50,57.75
111179,BAYTOWN 10 1,111180,BAYTOWN 10 2,1,Closed,Transformer,YES,-642.7,47.4,644.4,969.8,66.4,0.84,48.95
150497,OLNEY 2 1,240299,WEINERT 3 1,1,Closed,Line,NO,-631.1,129.8,644.3,1273.0,50.8,10.29,45.32
150497,OLNEY 2 1,240299,WEINERT 3 1,2,Closed,Line,NO,-631.1,129.8,644.3,1273.0,50.8,10.29,45.32
190112,IRA 3 1,240267,HERMLEIGH 3 1,1,Closed,Line,NO,638.9,-64.8,642.2,1215.3,52.8,2.65,15.19
111353,TEXAS CITY 9 1,111293,TEXAS CITY 8 1,1,Closed,Line,NO,629.6,110.5,639.2,1211.0,52.8,0.19,1.56
111179,BAYTOWN 10 1,111370,BAYTOWN 14 1,2,Closed,Line,NO,630.5,-57.1,633.1,1192.2,53.1,0.07,0.41
111179,BAYTOWN 10 1,111370,BAYTOWN 14 1,1,Closed,Line,NO,630.5,-57.1,633.1,1192.2,53.1,0.07,0.41
111179,BAYTOWN 10 1,111181,BAYTOWN 10 3,1,Closed,Transformer,YES,-629.2,58.1,631.8,973.7,64.9,1.03,59.65
150475,RAINBOW 4 1,150521,RAINBOW 5 1,1,Closed,Line,NO,-567.8,271.1,629.2,1361.8,46.2,0.11,0.56
150475,RAINBOW 4 1,150521,RAINBOW 5 1,2,Closed,Line,NO,-567.8,271.1,629.2,1361.8,46.2,0.11,0.56
150521,RAINBOW 5 1,150443,GRANBURY 10 1,1,Closed,Line,NO,624.2,-9.1,624.3,1303.9,47.9,1.11,7.60
110943,ROSENBERG 4 1,111362,WHARTON 3 1,1,Closed,Line,NO,-613.1,52.3,615.4,1250.2,49.5,5.31,37.33
240166,DYESS AFB 9 1,240215,NOLAN 3 1,1,Closed,Line,NO,-611.9,48.5,613.8,1248.2,49.3,2.82,14.06
150475,RAINBOW 4 1,150443,GRANBURY 10 1,1,Closed,Line,NO,613.6,14.5,613.7,1275.6,48.1,1.01,5.83
190178,FLOYDADA 2 1,190194,CROWELL 2 1,1,Closed,Line,NO,611.8,-32.6,612.7,1470.0,41.7,10.40,59.63
120437,ADKINS 6 1,120415,UNIVERSAL CITY 13 1,1,Closed,Line,NO,608.7,40.3,610.1,1149.5,53.1,3.42,17.62
111269,CHANNELVIEW 13 1,111370,BAYTOWN 14 1,1,Closed,Line,NO,-606.4,12.5,606.5,1258.8,48.3,2.09,6.86
110126,BAY CITY 3 1,111305,SWEENY 5 1,1,Closed,Line,NO,590.1,-79.2,595.4,1166.3,51.1,3.13,18.07
110160,SEALY 4 1,111389,WHARTON 4 1,1,Closed,Line,NO,-592.0,43.9,593.6,1233.7,48.7,5.42,-16.15
160215,POINT COMFORT 5 1,160264,POINT COMFORT 6 1,2,Closed,Line,NO,592.2,-22.6,592.6,1273.2,46.5,0.46,-0.26
160215,POINT COMFORT 5 1,160264,POINT COMFORT 6 1,1,Closed,Line,NO,592.2,-22.6,592.6,1273.2,46.5,0.46,-0.26
150367,MINERAL WELLS 3 1,150369,WEATHERFORD 4 1,2,Closed,Line,NO,592.2,19.3,592.5,1332.2,44.5,2.45,8.17
150367,MINERAL WELLS 3 1,150369,WEATHERFORD 4 1,1,Closed,Line,NO,592.2,19.3,592.5,1332.2,44.5,2.45,8.17
111235,LIVERPOOL 5 1,111284,CLUTE 5 1,1,Closed,Line,NO,-590.8,4.3,590.8,1198.9,49.6,3.31,13.81
111035,CYPRESS 45 1,111189,CYPRESS 54 1,1,Closed,Line,NO,-575.1,88.3,581.8,1265.9,46.0,0.50,1.14
130358,FORNEY 3 2,130357,FORNEY 3 1,1,Closed,Transformer,YES,-579.5,-4.2,579.5,800.0,73.2,1.33,68.34
130358,FORNEY 3 2,130357,FORNEY 3 1,2,Closed,Transformer,YES,-579.5,-4.2,579.5,800.0,73.2,1.33,68.34
111207,THOMPSONS 6 1,111208,THOMPSONS 6 2,1,Closed,Transformer,YES,-572.0,43.5,573.6,863.2,66.5,0.82,46.88
130350,DUNCANVILLE 14 1,270225,DUNCANVILLE 14 1,2,Closed,Transformer,YES,558.1,132.3,573.6,900.4,63.7,1.24,61.91
130350,DUNCANVILLE 14 1,270225,DUNCANVILLE 14 1,1,Closed,Transformer,YES,558.1,132.3,573.6,900.4,63.7,1.24,61.91
111207,THOMPSONS 6 1,111209,THOMPSONS 6 3,1,Closed,Transformer,YES,-570.9,45.7,572.8,861.9,66.5,0.97,49.02
190058,CHILDRESS 2 1,190204,CHILLICOTHE 3 1,2,Closed,Line,NO,569.7,-31.8,570.6,1360.3,41.9,6.52,31.86
190058,CHILDRESS 2 1,190204,CHILLICOTHE 3 1,1,Closed,Line,NO,569.7,-31.8,570.6,1360.3,41.9,6.52,31.86
160209,FANNIN 6 1,160210,FANNIN 6 2,1,Closed,Transformer,YES,-564.3,33.6,565.3,851.5,66.4,0.74,45.59
250366,FAIRFIELD 5 1,250352,TRINIDAD 5 1,1,Closed,Line,NO,559.5,-39.2,560.9,1232.6,45.5,2.00,7.76
150341,KENNEDALE 7 1,150430,KENNEDALE 8 1,1,Closed,Line,NO,548.3,-115.7,560.3,1301.0,43.1,1.19,4.46
150120,EASTLAND 1 1,150341,KENNEDALE 7 1,1,Closed,Line,NO,551.2,-52.0,553.7,1250.0,44.3,11.34,-19.21
220141,ODESSA 18 1,220099,MIDLAND 13 1,1,Closed,Line,NO,553.3,-19.4,553.6,1267.7,43.7,1.93,2.75
111311,PASADENA 7 2,111310,PASADENA 7 1,1,Closed,Transformer,YES,-552.3,2.1,552.3,900.0,62.0,1.30,71.45
111311,PASADENA 7 2,111310,PASADENA 7 1,2,Closed,Transformer,YES,-552.3,2.1,552.3,900.0,62.0,1.30,71.45
111389,WHARTON 4 1,110126,BAY CITY 3 1,1,Closed,Line,NO,-546.0,80.1,551.9,1310.8,42.3,3.13,0.68
130357,FORNEY 3 1,170512,TERRELL 9 1,1,Closed,Line,NO,549.0,40.2,550.5,1239.5,44.4,1.46,0.15
230267,FRANKLIN 6 1,230242,MEXIA 2 1,1,Closed,Line,NO,549.9,-4.5,549.9,1433.8,38.4,3.49,-3.01
130327,WAXAHACHIE 5 1,130354,BARDWELL 2 1,1,Closed,Line,NO,-548.0,-1.7,548.0,1115.4,49.3,1.80,6.40
150152,AZLE 1 1,260137,BEDFORD 1 1,1,Closed,Line,NO,545.7,-38.3,547.0,1400.4,39.1,2.96,11.36
150152,AZLE 1 1,260137,BEDFORD 1 1,2,Closed,Line,NO,545.7,-38.3,547.0,1400.4,39.1,2.96,11.36
150152,AZLE 1 1,150265,KELLER 6 1,2,Closed,Line,NO,541.0,-58.4,544.1,1425.1,38.2,1.81,6.25
150152,AZLE 1 1,150265,KELLER 6 1,1,Closed,Line,NO,541.0,-58.4,544.1,1425.1,38.2,1.81,6.25
150526,OKLAUNION 2 1,150550,VERNON 2 1,1,Closed,Line,NO,-541.8,-17.9,542.1,1100.0,49.4,1.63,5.42
240237,NOLAN 4 1,240220,WINGATE 3 1,1,Closed,Line,NO,-516.0,154.8,538.7,1271.6,42.4,1.18,2.50
230288,COLLEGE STATION 12 1,230234,NAVASOTA 5 1,1,Closed,Line,NO,534.3,-61.4,537.9,1035.5,51.9,2.92,10.74
230068,BRENHAM 5 1,230072,HEMPSTEAD 4 1,1,Closed,Line,NO,535.1,-38.7,536.5,1100.0,48.8,8.05,37.76
160196,NURSERY 3 1,230263,FAYETTEVILLE 2 1,1,Closed,Line,NO,526.4,-70.6,531.1,1226.4,43.3,6.30,-54.42
150460,JOSHUA 7 1,150341,KENNEDALE 7 1,2,Closed,Line,NO,528.2,-19.5,528.6,1369.8,38.6,1.84,-6.20
150460,JOSHUA 7 1,150341,KENNEDALE 7 1,1,Closed,Line,NO,528.2,-19.5,528.6,1369.8,38.6,1.84,-6.20
190183,GROOM 3 1,190058,CHILDRESS 2 1,1,Closed,Line,NO,527.2,-11.4,527.3,1259.7,41.9,11.18,64.59
111189,CYPRESS 54 1,111171,SUGAR LAND 75 1,1,Closed,Line,NO,-519.1,80.7,525.3,1152.8,45.8,1.91,-1.46
260106,COPPELL 10 2,260105,COPPELL 10 1,2,Closed,Transformer,YES,-524.2,-31.5,525.1,896.9,60.0,1.23,86.26
260106,COPPELL 10 2,260105,COPPELL 10 1,1,Closed,Transformer,YES,-524.2,-31.5,525.1,896.9,60.0,1.23,86.26
220157,IRAAN 4 1,240302,BARNHART 1 1,1,Closed,Line,NO,523.2,-19.8,523.5,1263.3,41.4,6.42,36.41
210342,GOLDTHWAITE 6 1,240180,GOODFELLOW AFB 9 1,1,Closed,Line,NO,-518.7,26.5,519.4,1235.3,43.1,11.11,-31.36
220141,ODESSA 18 1,220160,ODESSA 19 1,1,Closed,Line,NO,518.6,22.8,519.1,1271.1,40.8,0.10,0.12
150460,JOSHUA 7 1,150521,RAINBOW 5 1,2,Closed,Line,NO,-517.6,15.4,517.8,1339.4,38.9,2.57,-2.31
150460,JOSHUA 7 1,150521,RAINBOW 5 1,1,Closed,Line,NO,-517.6,15.4,517.8,1339.4,38.9,2.57,-2.31
240226,MARYNEAL 2 1,240208,TRENT 1 1,1,Closed,Line,NO,513.0,-66.5,517.3,1279.5,40.4,1.65,-3.69
240226,MARYNEAL 2 1,240208,TRENT 1 1,2,Closed,Line,NO,513.0,-66.5,517.3,1279.5,40.4,1.65,-3.69
190188,UMBARGER 5 1,190061,TULIA 1 1,1,Closed,Line,NO,513.2,-7.7,513.2,1226.5,41.8,4.35,23.09
111300,FREEPORT 2 1,111235,LIVERPOOL 5 1,1,Closed,Line,NO,513.0,12.0,513.1,1186.4,43.3,2.54,12.51
240012,JUNCTION 2 1,240308,ELDORADO 4 1,1,Closed,Line,NO,-511.2,39.4,512.7,1324.1,39.3,5.50,-27.47
240012,JUNCTION 2 1,240308,ELDORADO 4 1,2,Closed,Line,NO,-511.2,39.4,512.7,1324.1,39.3,5.50,-27.47
111346,DEER PARK 14 1,111332,BAYTOWN 13 1,1,Closed,Line,NO,-508.9,15.1,509.1,1100.0,46.4,1.45,3.08
230263,FAYETTEVILLE 2 1,230265,FAYETTEVILLE 2 3,1,Closed,Transformer,YES,-508.5,-3.6,508.5,767.0,66.5,0.43,32.06
230263,FAYETTEVILLE 2 1,230264,FAYETTEVILLE 2 2,1,Closed,Transformer,YES,-507.9,9.0,508.0,767.0,66.5,1.03,44.69
240215,NOLAN 3 1,240237,NOLAN 4 1,1,Closed,Line,NO,-506.0,12.6,506.2,1237.1,41.0,0.80,-0.79
120441,ELMENDORF 11 2,120440,ELMENDORF 11 1,2,Closed,Transformer,YES,-506.0,-11.7,506.1,700.0,72.9,0.84,46.24
120441,ELMENDORF 11 2,120440,ELMENDORF 11 1,1,Closed,Transformer,YES,-506.0,-11.7,506.1,700.0,72.9,0.84,46.24
170169,WYLIE 1 2,170168,WYLIE 1 1,2,Closed,Transformer,YES,-504.8,7.3,504.8,855.9,59.3,0.77,51.13
170169,WYLIE 1 2,170168,WYLIE 1 1,1,Closed,Transformer,YES,-504.8,7.3,504.8,855.9,59.3,0.77,51.13
150479,PERRIN 2 1,150503,BRYSON 2 1,1,Closed,Line,NO,-501.9,33.4,503.0,1367.5,37.0,1.99,-13.25
130367,FERRIS 3 1,260206,VENUS 3 1,1,Closed,Line,NO,-498.4,56.1,501.6,1263.0,39.9,2.66,-2.33
150521,RAINBOW 5 1,150532,MINGUS 4 1,1,Closed,Line,NO,-500.8,4.1,500.8,1115.1,45.2,3.11,-21.47
150521,RAINBOW 5 1,150532,MINGUS 4 1,2,Closed,Line,NO,-500.8,4.1,500.8,1115.1,45.2,3.11,-21.47
150475,RAINBOW 4 1,150460,JOSHUA 7 1,1,Closed,Line,NO,498.7,-5.4,498.7,1323.1,37.7,2.25,1.39
150475,RAINBOW 4 1,150460,JOSHUA 7 1,2,Closed,Line,NO,498.7,-5.4,498.7,1323.1,37.7,2.25,1.39
111207,THOMPSONS 6 1,111389,WHARTON 4 1,1,Closed,Line,NO,-496.6,40.0,498.2,1219.5,41.2,2.90,-15.88
210347,COMANCHE 4 1,240237,NOLAN 4 1,1,Closed,Line,NO,-496.4,36.7,497.8,1234.9,41.4,10.74,-30.56
160139,CORPUS CHRISTI 8 1,160252,CORPUS CHRISTI 31 1,1,Closed,Line,NO,-497.2,-2.1,497.2,1255.9,39.7,0.92,-0.02
150460,JOSHUA 7 1,150443,GRANBURY 10 1,2,Closed,Line,NO,-496.0,8.8,496.1,1332.6,37.3,1.37,-9.29
150460,JOSHUA 7 1,150443,GRANBURY 10 1,1,Closed,Line,NO,-496.0,8.8,496.1,1332.6,37.3,1.37,-9.29
150367,MINERAL WELLS 3 1,240231,ABILENE 6 1,1,Closed,Line,NO,-495.1,25.1,495.8,1230.0,41.4,9.42,-45.13
110743,HUMBLE 9 2,110742,HUMBLE 9 1,2,Closed,Transformer,YES,-494.4,-28.0,495.2,650.0,77.1,0.87,48.55
110743,HUMBLE 9 2,110742,HUMBLE 9 1,1,Closed,Transformer,YES,-494.4,-28.0,495.2,650.0,77.1,0.87,48.55
260137,BEDFORD 1 1,150265,KELLER 6 1,1,Closed,Line,NO,-494.2,19.9,494.6,1274.4,38.9,1.17,-6.08
210323,WHITNEY 4 1,260185,HILLSBORO 2 1,1,Closed,Line,NO,488.2,-26.0,488.9,1218.6,40.1,2.42,1.39
130357,FORNEY 3 1,170168,WYLIE 1 1,1,Closed,Line,NO,484.9,48.8,487.4,1213.2,40.2,1.44,-5.11
190160,LOCKNEY 3 1,190178,FLOYDADA 2 1,1,Closed,Line,NO,484.9,-29.7,485.8,942.1,51.6,1.09,3.23
230072,HEMPSTEAD 4 1,110958,PINEHURST 2 1,1,Closed,Line,NO,484.3,-36.7,485.7,1034.5,46.9,1.78,-6.78
120468,ADKINS 8 1,120470,ADKINS 8 3,1,Closed,Transformer,YES,-482.8,24.0,483.4,728.0,66.4,0.24,14.89
150370,WEATHERFORD 4 2,150369,WEATHERFORD 4 1,1,Closed,Transformer,YES,-482.4,17.0,482.7,700.0,69.3,0.98,55.27
150370,WEATHERFORD 4 2,150369,WEATHERFORD 4 1,2,Closed,Transformer,YES,-482.4,17.0,482.7,700.0,69.3,0.98,55.27
150430,KENNEDALE 8 1,150265,KELLER 6 1,1,Closed,Line,NO,464.0,-124.5,480.5,1262.6,38.1,1.48,-8.00
140185,ROUND ROCK 4 1,140303,MANOR 7 1,2,Closed,Line,NO,-477.1,-36.4,478.5,1294.6,37.0,1.19,-3.56
140185,ROUND ROCK 4 1,140303,MANOR 7 1,1,Closed,Line,NO,-477.1,-36.4,478.5,1294.6,37.0,1.19,-3.56
111207,THOMPSONS 6 1,111212,THOMPSONS 6 6,1,Closed,Transformer,YES,-475.4,40.3,477.1,734.5,65.0,0.80,43.64
130367,FERRIS 3 1,130357,FORNEY 3 1,1,Closed,Line,NO,473.9,-50.9,476.6,1335.6,35.7,2.16,4.27
130367,FERRIS 3 1,130357,FORNEY 3 1,2,Closed,Line,NO,473.9,-50.9,476.6,1335.6,35.7,2.16,4.27
150120,EASTLAND 1 1,150532,MINGUS 4 1,1,Closed,Line,NO,466.1,-89.8,474.6,1500.0,31.6,4.14,7.84
200003,WESLACO 3 1,200167,EDINBURG 15 1,1,Closed,Line,NO,-468.3,63.0,472.5,1153.7,41.2,1.37,-11.37
150503,BRYSON 2 1,150265,KELLER 6 1,1,Closed,Line,NO,466.5,-73.6,472.3,1180.0,40.0,8.01,-63.47
260138,BEDFORD 1 2,260137,BEDFORD 1 1,2,Closed,Transformer,YES,-469.3,-35.3,470.6,754.9,63.6,0.99,60.31
