Bus
Number,Substation Latitude,Substation Longitude,Area Num,Sub Name,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Sub Num,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Zone Num
210327,31.8595000,-97.3586000,5,WHITNEY 5,WHITNEY 5 2,North Central,24.00,1.02675,24.642,3.37,,,155.51,3574,-67.34,,0.00,0.00,1
190120,32.9291000,-101.5786000,1,ODONNELL 1,ODONNELL 1 2,Far West,13.80,1.03899,14.338,41.99,,,155.27,3104,-4.25,,0.00,0.00,1
160273,27.9386000,-97.4586000,4,PORTLAND 3,PORTLAND 3 3,South,20.00,1.04000,20.800,25.96,,,155.27,2421,4.33,,0.00,0.00,1
220225,31.2550000,-102.2720000,1,MC CAMEY 4,MC CAMEY 4 3,Far West,24.00,1.04000,24.960,40.44,,,155.27,3730,-8.12,,0.00,0.00,1
140335,30.5581000,-98.3705000,6,HORSESHOE BAY 5,HORSESHOE BAY 5 2,South Central,13.80,1.04000,14.352,5.09,,,155.27,1815,11.84,,0.00,0.00,1
250367,31.8908000,-96.1131000,8,FAIRFIELD 5,FAIRFIELD 5 2,East,24.00,1.04061,24.975,-1.25,,,152.68,4556,0.08,,0.00,0.00,1
150488,33.0583000,-97.9103000,5,POOLVILLE 2,POOLVILLE 2 2,North Central,13.80,1.04000,14.352,-2.57,,,151.56,2194,-9.48,,0.00,0.00,1
250354,32.1246000,-96.1013000,8,TRINIDAD 5,TRINIDAD 5 3,East,18.00,1.04000,18.720,-4.22,,,151.21,4553,-2.35,,0.00,0.00,1
111334,29.7732000,-94.9019000,7,BAYTOWN 13,BAYTOWN 13 3,Coast,13.80,1.04000,14.352,-11.80,,,150.96,858,0.26,,0.00,0.00,1
111324,29.7189000,-95.2319000,7,GALENA PARK 21,GALENA PARK 21 2,Coast,18.00,1.05977,19.076,-13.78,,,150.56,856,109.43,,0.00,0.00,1
190185,35.1818000,-100.9344000,2,GROOM 3,GROOM 3 3,North,13.80,1.04000,14.352,46.69,,,150.10,3128,-0.69,,0.00,0.00,1
140357,30.1479000,-97.2714000,6,BASTROP 6,BASTROP 6 5,South Central,13.80,1.03469,14.279,6.00,,,148.37,1819,-16.70,,0.00,0.00,1
111372,29.7516000,-94.9231000,7,BAYTOWN 14,BAYTOWN 14 3,Coast,20.00,1.05765,21.153,-11.38,,,148.37,865,85.65,,0.00,0.00,1
240248,32.2878000,-100.1000000,3,NOLAN 5,NOLAN 5 2,West,18.00,1.02362,18.425,23.39,,,146.82,4199,-52.97,,0.00,0.00,1
111351,29.7134000,-95.1345000,7,DEER PARK 14,DEER PARK 14 6,Coast,18.00,1.04000,18.720,-14.08,,,146.47,861,12.87,,0.00,0.00,1
240266,32.1982000,-100.2686000,3,BLACKWELL 2,BLACKWELL 2 5,West,13.80,1.04000,14.352,24.76,,,146.21,4203,-9.31,,0.00,0.00,1
111215,29.4829000,-95.6311000,7,THOMPSONS 6,THOMPSONS 6 9,Coast,18.00,1.04078,18.734,-7.18,,,145.78,831,3.33,,0.00,0.00,1
